instant,season,yr,mnth,holiday,weekday,workingday,weathersit,atemp,windspeed,leaflets,price reduction,cnt
299,4.0,0,10,0,2,1,2,0.472846,0.1201613832077431,605,0,3894
458,2.0,1,4,0,0,1,1,0.427513,0.2067789497107533,518,0,5936
687,4.0,1,11,0,1,0,1,0.326383,0.13954533356496904,766,0,5629
346,4.0,0,12,0,2,1,1,0.270196,0.05769370124300406,739,0,3310
291,4.0,0,10,0,1,1,2,0.522721,0.09373375646042562,463,0,4748
53,1.0,0,2,0,5,1,1,0.186033,0.1488907288914623,516,0,1450
606,3.0,1,8,0,5,1,1,0.66605,0.14614432594066454,742,0,7040
640,4.0,1,10,0,6,1,2,0.512,0.07941253093975782,586,0,6778
183,3.0,0,7,0,6,0,1,0.667308,0.09730429356312341,996,0,5119
201,3.0,0,7,0,3,1,1,0.74685,0.0964154126374469,753,1,4332
244,3.0,0,9,0,5,1,1,0.614921,0.11567055566521092,931,0,5115
527,2.0,1,6,0,1,0,1,0.663517,0.1102647327998969,839,0,6598
85,2.0,0,3,0,2,0,1,0.257571,0.1567159525031754,1000,0,2496
583,3.0,1,8,0,3,0,1,0.731079,0.19720174083866662,794,0,5464
499,2.0,1,5,0,4,0,1,0.585238,0.16515039968479486,667,0,6118
579,3.0,1,8,0,6,1,1,0.667308,0.11526169632365824,896,0,7580
591,3.0,1,8,0,4,1,1,0.662254,0.1119450858547134,629,0,6883
388,1.0,1,1,0,0,1,2,0.243058,0.09418216369096305,633,0,2432
706,4.0,1,12,0,4,1,1,0.258204,0.13655007093897453,596,0,5375
549,3.0,1,7,0,0,1,1,0.702038,0.14865196162318112,615,0,6227
666,4.0,1,10,0,4,0,2,0.515133,0.17070031122878768,1023,0,7852
239,3.0,0,8,0,3,0,2,0.635556,0.23212987456095793,666,0,1115
298,4.0,0,10,0,1,1,1,0.463375,0.1315905771762873,803,0,4687
74,1.0,0,3,0,5,1,2,0.318178,0.14226826820117566,931,0,2056
246,3.0,0,9,0,0,0,1,0.633213,0.14286787861238257,975,0,4484
198,3.0,0,7,0,0,0,1,0.669833,0.1754812075160718,921,1,5302
484,2.0,1,4,0,5,0,2,0.377504,0.1077160736752319,976,0,4220
436,1.0,1,3,0,2,0,1,0.35967,0.16380043856123558,627,0,4911
511,2.0,1,5,0,2,1,1,0.627529,0.11484417691287284,933,1,6734
233,3.0,0,8,0,4,0,1,0.675525,0.17735478835799978,633,1,3873
703,4.0,1,12,0,1,1,1,0.455796,0.07317168860655941,585,0,6234
577,3.0,1,7,0,0,1,1,0.684987,0.12337302218233213,553,1,7105
634,4.0,1,9,0,2,1,1,0.544179,0.171025776450569,867,0,7538
173,2.0,0,6,0,5,1,1,0.693829,0.13503484823308312,561,0,4507
14,1.0,0,1,0,4,1,1,0.188413,0.10536132943033216,481,0,1421
474,2.0,1,4,0,2,1,2,0.457038,0.13236576275391154,716,0,4367
320,4.0,0,11,0,6,1,3,0.451988,0.11235952724417948,990,0,1817
61,1.0,0,3,0,6,1,1,0.320071,0.2049193211741548,694,0,2134
352,4.0,0,12,0,1,0,1,0.245579,0.13351510294864888,795,0,2431
273,4.0,0,9,0,6,1,1,0.544829,0.15499573696742042,909,0,5202
196,3.0,0,7,0,5,1,1,0.624371,0.14139432549260542,632,0,5538
34,1.0,0,2,0,0,1,1,0.177878,0.19137960966466366,787,0,1550
365,1.0,0,12,0,0,0,1,0.414121,0.16249401561360505,495,0,2485
194,3.0,0,7,0,3,1,1,0.689404,0.11852521387641665,1027,0,4342
113,2.0,0,4,0,6,0,2,0.450121,0.16811202450022017,468,0,4036
18,1.0,0,1,0,1,1,2,0.2323329999999999,0.11894493493315689,989,0,683
287,4.0,0,10,0,4,1,2,0.529675,0.16449304419742164,471,0,3644
586,3.0,1,8,0,6,1,2,0.707717,0.09417639206464505,1024,1,7534
200,2.0,0,7,0,2,1,1,0.747479,0.10814312959361216,756,0,4541
689,2.0,1,11,0,3,1,2,0.375621,0.170376405074182,797,0,5499
531,2.0,1,6,0,5,1,1,0.624383,0.1798347978025636,811,0,7363
159,2.0,0,6,0,5,1,1,0.727279,0.1123514734646615,897,0,4401
571,2.0,1,7,0,1,1,1,0.70645,0.1577555161244044,1009,1,7592
203,3.0,0,7,0,5,1,1,0.8408959999999999,0.10984403514386772,849,0,3387
347,4.0,0,12,0,3,1,1,0.301138,0.11484417691287284,529,0,3523
452,2.0,1,3,0,4,1,1,0.315654,0.14396556462544616,550,0,5102
453,2.0,1,3,0,5,1,1,0.47095,0.1977665839323172,569,0,5698
350,4.0,0,12,0,6,1,2,0.359825,0.1831932041988141,1007,0,3577
700,4.0,1,11,0,0,1,1,0.323867,0.053551311434406904,899,1,5668
210,3.0,0,7,0,5,1,1,0.785967,0.1361764517750052,930,0,3846
459,2.0,1,4,0,1,1,1,0.461483,0.08643845248879536,458,0,6772
366,1.0,1,1,0,6,0,1,0.375621,0.14686451911957293,568,0,2294
11,1.0,0,1,0,1,1,2,0.191464,0.10229398771973162,1028,0,1263
285,2.0,0,10,0,2,1,3,0.517717,0.1770518454515081,575,0,2416
409,1.0,1,2,0,4,1,1,0.227913,0.13197725731868828,830,0,3422
446,2.0,1,3,0,5,1,2,0.513258,0.07846000203109006,1021,0,6230
450,2.0,1,3,0,2,0,2,0.437488,0.16282823725943177,684,0,4996
718,4.0,1,12,0,2,1,1,0.409708,0.16316622598934447,759,0,5557
181,2.0,0,6,0,6,1,1,0.637008,0.14286021652426753,796,1,5515
116,2.0,0,4,0,2,1,1,0.594083,0.21284594838551127,498,0,4400
422,1.0,1,2,0,3,0,1,0.268308,0.15429954681773606,829,0,3389
120,2.0,0,4,0,6,0,1,0.464021,0.17038055429353036,1022,0,5312
276,4.0,0,10,0,0,1,2,0.392046,0.07365939509347591,992,1,3570
16,1.0,0,1,0,6,0,1,0.234217,0.1446922347545221,493,0,1204
665,4.0,1,10,0,3,1,2,0.52275,0.10941446954829381,634,0,7444
693,4.0,1,11,0,0,1,1,0.378779,0.11975745189778661,998,0,3910
38,1.0,0,2,0,4,1,1,0.303658,0.04239091022255721,978,0,1712
64,1.0,0,3,0,2,0,2,0.378779,0.17891093669903055,873,0,2077
711,4.0,1,12,0,2,1,2,0.338363,0.19972619503568168,711,0,5501
349,2.0,0,12,0,5,1,2,0.4122369999999999,0.18679429227575917,655,0,3709
310,4.0,0,11,0,3,0,1,0.362358,0.08036480063881418,522,0,3649
556,3.0,1,7,0,0,1,2,0.654054,0.1402893670534051,690,0,6569
209,3.0,0,7,0,4,1,1,0.7399,0.1387964520961511,735,0,4390
133,2.0,0,5,0,3,1,2,0.4943,0.13954294107875279,748,0,4105
220,3.0,0,8,0,5,1,1,0.703283,0.14686915048412053,546,0,4326
555,3.0,1,7,0,6,0,1,0.790396,0.10472607653150658,607,0,4672
657,4.0,1,10,0,2,1,2,0.512625,0.1713440163825804,1024,1,7509
592,3.0,1,8,0,5,1,1,0.676779,0.13313344374898517,878,0,6784
290,4.0,0,10,0,0,1,1,0.510725,0.13692852671498118,1010,1,4570
705,4.0,1,12,0,3,1,1,0.428012,0.21181325472276602,620,1,5729
94,2.0,0,4,0,1,1,1,0.542929,0.2357813043035175,558,0,3115
24,1.0,0,1,0,0,1,1,0.11793,0.12637605218066683,1020,0,1416
638,4.0,1,9,0,6,0,1,0.530296,0.16646899426564993,1001,0,32472
569,3.0,1,7,0,6,0,2,0.623125,0.08178051228736367,552,0,7410
483,2.0,1,4,0,4,1,1,0.452637,0.22141111376452138,503,0,6233
730,1.0,1,12,0,0,0,1,0.2317,0.2226408683213537,925,0,1796
552,3.0,1,7,0,3,1,1,0.761367,0.14793986836643,541,1,6241
89,2.0,0,3,0,6,1,2,0.29735,0.13541641971844443,644,0,1536
658,2.0,1,10,0,3,1,2,0.537896,0.11109791060148336,1000,0,5424
628,3.0,1,9,0,3,1,1,0.540404,0.1597950911147021,865,1,7591
580,3.0,1,8,0,0,1,1,0.707088,0.10729102281798507,504,1,7261
714,4.0,1,12,0,5,1,1,0.294192,0.10857217814315165,528,0,5611
431,1.0,1,3,0,4,1,1,0.255042,0.15184912698016084,616,1,3956
283,4.0,0,10,1,0,0,1,0.542925,0.03967464002121326,555,0,5117
407,1.0,1,2,0,2,0,3,0.210867,0.19691868072589477,917,0,2169
704,4.0,1,12,0,2,1,1,0.4690539999999999,0.13617098853520054,729,1,6606
605,3.0,1,8,0,4,1,1,0.654688,0.10686524455642511,786,0,6917
121,2.0,0,5,0,5,0,2,0.448204,0.09102174305329049,756,0,3351
646,4.0,1,10,0,5,0,2,0.419813,0.11525042142351735,706,0,3510
651,4.0,1,10,0,3,1,1,0.433071,0.17038937110716337,737,0,7282
335,4.0,0,12,0,5,1,1,0.305554,0.162496170102753,906,0,3727
69,2.0,0,3,0,0,1,3,0.385668,0.1838258889361607,779,0,623
609,3.0,1,8,0,1,1,1,0.6894,0.1327486891934399,620,0,7350
602,3.0,1,8,0,1,1,2,0.6471,0.06478516344249158,688,1,7582
86,2.0,0,3,0,3,0,2,0.250339,0.14226294954300667,549,0,1693
466,2.0,1,4,0,1,1,1,0.436233,0.17766578311103817,545,0,5918
7,1.0,0,1,0,4,1,2,0.208839,0.132867569684449,977,0,1510
105,2.0,0,4,1,5,0,1,0.441913,0.16581842403781374,527,1,3126
141,2.0,0,5,0,4,0,1,0.571975,0.10125616084883472,992,0,5805
487,2.0,1,5,0,6,1,2,0.577021,0.12495733725314515,555,0,5740
27,1.0,0,1,0,3,1,1,0.2197,0.09642971627089919,935,1,431
559,3.0,1,7,0,3,1,1,0.654683,0.11894493493315689,579,0,7446
709,4.0,1,12,0,0,0,2,0.390146,0.12615117596441455,869,0,3228
90,2.0,0,3,0,0,1,3,0.257575,0.16113881467584204,968,0,1685
35,1.0,0,2,0,1,1,2,0.2285869999999999,0.10625100773802477,559,1,1708
653,4.0,1,10,0,5,0,1,0.508204,0.19178051310440272,785,0,6639
416,1.0,1,2,1,4,0,1,0.273391,0.16724922154987348,893,0,3129
426,1.0,1,3,0,6,1,1,0.475371,0.166142639064665,777,0,4990
547,3.0,1,6,0,0,0,1,0.687508,0.12810515820266327,981,0,5687
271,4.0,0,9,0,4,1,2,0.575158,0.12015293427727304,577,0,3907
180,3.0,0,6,0,5,1,1,0.654688,0.1837987184609797,585,0,5225
387,1.0,1,1,0,6,0,2,0.16225,0.1511478966300968,651,0,1977
